tag,name,townhallLevel,mapPosition,attacker_townhallLevel,defender_townhallLevel,attack_th_diff,defense_th_diff,attack_stars,attack_percentage,attack_duration,defender_tag,defense_stars,defense_percentage,defense_duration,attacker_tag
#VV9RJ28,Nat,14,19,17,17,3,3,1,74,127,#208GP29PP,2,90,152,#208GP29PP
#P2RVRUQL,rougier,16,12,17,17,1,1,2,64,118,#JQ90JRCQ,2,86,180,#JQ90JRCQ
#P8GU9VCC,4li506,17,4,17,17,0,0,3,100,171,#QUJRYUGC,2,94,121,#9GPCVLCU
#JUL00PUJ,kilamanshum,16,5,17,17,1,1,2,53,118,#9JQ88VLU,2,86,171,#9889LYV89
#VC2LQPQG,rozzledog 72,15,16,16,16,1,1,2,70,127,#8UUQ8GYQL,2,97,142,#8UUQ8GYQL
#98PCR0LR,felix,15,14,16,16,1,1,2,88,162,#Q2GP8J22Q,3,100,115,#Q2GP8J22Q
#LYCJ22LCC,conan_1014,17,11,17,17,0,0,2,94,180,#9889LYV89,3,100,158,#2UP0YR0Y2
#QLLCQYPY,Harry The Great,16,7,17,17,1,1,3,100,141,#GVUPRULJ,3,100,103,#GVUPRULJ
#P0LVPRPL,o12s,17,3,17,17,0,0,3,100,170,#2UVULV9P,2,96,180,#2UVULV9P
#82CQ9GJ89,Fazzy,17,1,17,17,0,0,3,100,162,#9GPCVLCU,2,82,107,#J09YPRYJ
#22G29C82C,CamV13,17,2,17,17,0,0,2,89,150,#2G2U82VG,2,76,99,#2G2U82VG
#90Y82C8CU,Milesy,16,6,17,17,1,1,2,82,95,#J09YPRYJ,2,89,170,#9JQ88VLU
#YYQ2J2YG,Tom the bomb,16,10,17,17,1,1,2,87,153,#U002GRQU,3,100,162,#U002GRQU
#PPPQJP0V2,rcbc,16,9,17,17,1,1,2,68,112,#2UP0YR0Y2,3,100,105,#QUJRYUGC
#LRQRU2J2U,gilo,15,13,17,17,2,2,2,81,163,#8RV2L9R2Q,3,100,178,#8RV2L9R2Q
