tag,name,townhallLevel,mapPosition,attacker_townhallLevel,defender_townhallLevel,attack_th_diff,defense_th_diff,attack_stars,attack_percentage,attack_duration,defender_tag,defense_stars,defense_percentage,defense_duration,attacker_tag
#VV9RJ28,Nat,14,19,14,14,0,0,3,100,117,#P888YGV0Y,3,100,164,#9VUGL2Q8Y
#P2RVRUQL,rougier,16,12,15,15,-1,-1,3,100,158,#YQUU0VY0Y,3,100,174,#8PPQ0YPR
#P8GU9VCC,4li506,17,4,17,17,0,0,3,100,134,#YCU9UYJ92,2,91,152,#JRC09RLC
#JUL00PUJ,kilamanshum,16,5,17,16,0,1,1,69,110,#YUU2JGLPP,2,81,142,#YCU9UYJ92
#VC2LQPQG,rozzledog 72,15,16,14,14,-1,-1,2,76,156,#9VUGL2Q8Y,2,61,84,#P888YGV0Y
#98PCR0LR,felix,15,15,15,14,-1,0,3,100,146,#QGVGPQQJ,3,100,138,#22P2YRV92
#LYCJ22LCC,conan_1014,17,11,15,15,-2,-2,3,100,144,#Y89GLR9,2,70,173,#2PPP9CVGU
#QLLCQYPY,Harry The Great,16,7,16,15,-1,0,3,100,136,#RLUV0PUU,2,65,70,#YUU2JGLPP
#P0LVPRPL,o12s,17,3,17,17,0,0,3,100,143,#JRC09RLC,0,7,180,#2L0GC2CYG
#82CQ9GJ89,Fazzy,17,1,14,17,0,-3,3,100,128,#888QGQLJC,2,71,117,#QGVGPQQJ
#22G29C82C,CamV13,17,2,17,17,0,0,3,100,165,#2L0GC2CYG,2,79,171,#888QGQLJC
#90Y82C8CU,Milesy,16,6,15,15,-1,-1,3,100,85,#GP8QYCG,2,71,84,#Y89GLR9
#YYQ2J2YG,Tom the bomb,16,10,15,15,-1,-1,3,100,126,#2PPP9CVGU,2,65,66,#GP8QYCG
#PPPQJP0V2,rcbc,16,9,15,15,-1,-1,3,100,134,#8PPQ0YPR,2,83,170,#RLUV0PUU
#LRQRU2J2U,gilo,15,13,15,15,0,0,3,100,165,#22P2YRV92,2,88,178,#YQUU0VY0Y
