tag,name,townhallLevel,mapPosition,attacker_townhallLevel,defender_townhallLevel,attack_th_diff,defense_th_diff,attack_stars,attack_percentage,attack_duration,defender_tag,defense_stars,defense_percentage,defense_duration,attacker_tag,season,battleday,wartag
#P2RVRUQL,rougier,16,12,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#P8GU9VCC,4li506,17,4,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#JUL00PUJ,kilamanshum,16,5,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#VC2LQPQG,rozzledog 72,16,13,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#98PCR0LR,felix,15,16,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#LYCJ22LCC,conan_1014,17,11,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#QLLCQYPY,Harry The Great,16,7,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#9GPRUGVR,Vincendo79,16,8,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#P0LVPRPL,o12s,17,3,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#82CQ9GJ89,Fazzy,17,1,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#22G29C82C,CamV13,17,2,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#90Y82C8CU,Milesy,16,6,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#YYQ2J2YG,Tom the bomb,16,10,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#PPPQJP0V2,rcbc,16,9,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
#LRQRU2J2U,gilo,15,15,,,,,,,,,,,,,2025-10,7,#8Q9CGLRU0
