tag,name,townhallLevel,mapPosition,attacker_townhallLevel,defender_townhallLevel,attack_th_diff,defense_th_diff,attack_stars,attack_percentage,attack_duration,defender_tag,defense_stars,defense_percentage,defense_duration,attacker_tag,season,battleday,wartag
#P2RVRUQL,rougier,16,12,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#P8GU9VCC,4li506,17,4,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#JUL00PUJ,kilamanshum,16,5,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#VC2LQPQG,rozzledog 72,16,16,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#98PCR0LR,felix,15,15,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#LYCJ22LCC,conan_1014,17,11,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#QLLCQYPY,Harry The Great,16,7,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#9GPRUGVR,Vincendo79,16,8,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#P0LVPRPL,o12s,17,3,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#82CQ9GJ89,Fazzy,17,1,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#22G29C82C,CamV13,17,2,17.0,,,0.0,,,,,3.0,100.0,170.0,#YGJY0J090,2025-10,6,#8Q9GCPVGG
#90Y82C8CU,Milesy,16,6,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#YYQ2J2YG,Tom the bomb,16,10,15.0,,,-1.0,,,,,3.0,100.0,172.0,#20GP2RYYJ,2025-10,6,#8Q9GCPVGG
#PPPQJP0V2,rcbc,16,9,,,,,,,,,,,,,2025-10,6,#8Q9GCPVGG
#LRQRU2J2U,gilo,15,14,,15.0,0.0,,3.0,100.0,158.0,#P90CJUURG,,,,,2025-10,6,#8Q9GCPVGG
